source_txt	line_no	reason	raw_line
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	128	non_speech_or_empty_text	"[516.477,517.796]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	166	non_speech_or_empty_text	"[630.272,631.320]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	190	non_speech_or_empty_text	"[719.750,720.340]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	262	non_speech_or_empty_text	"[966.500,967.420]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0004_S0007_0_G0007_G0008.txt	30	non_speech_or_empty_text	"[97.769,98.516]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0004_S0007_0_G0007_G0008.txt	78	non_speech_or_empty_text	"[223.155,224.008]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0004_S0007_0_G0007_G0008.txt	81	non_speech_or_empty_text	"[238.790,239.500]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0004_S0007_0_G0007_G0008.txt	292	non_speech_or_empty_text	"[882.800,883.540]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0005_S0007_0_G0009_G0010.txt	233	non_speech_or_empty_text	"[841.291,841.670]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0005_S0007_0_G0009_G0010.txt	254	non_speech_or_empty_text	"[917.211,918.772]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0005_S0007_0_G0009_G0010.txt	366	non_speech_or_empty_text	"[1312.970,1316.230]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0009_S0005_0_G0017_G0018.txt	111	non_speech_or_empty_text	"[479.228,480.460]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0009_S0005_0_G0017_G0018.txt	269	duration_below_0.3	"[1178.594,1178.855]	G0018	female	嗯"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	10	duration_below_0.3	"[28.187,28.420]	G0000	none	[ENS]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	60	non_speech_or_empty_text	"[157.980,158.338]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	281	non_speech_or_empty_text	"[820.520,821.740]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	282	non_speech_or_empty_text	"[821.810,823.270]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	325	duration_below_0.3	"[972.661,972.893]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	342	non_speech_or_empty_text	"[1030.230,1031.249]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	357	non_speech_or_empty_text	"[1065.342,1066.507]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0038_S0006_0_G0075_G0076.txt	537	non_speech_or_empty_text	"[1558.306,1558.782]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	79	non_speech_or_empty_text	"[157.190,157.839]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	101	non_speech_or_empty_text	"[200.917,201.381]	G0000	none	[+]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	120	duration_below_0.3	"[229.610,229.860]	G0217	male	阿拉"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	121	duration_below_0.3	"[229.889,230.122]	G0000	none	[ENS]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	130	duration_below_0.3	"[244.835,244.980]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	160	duration_below_0.3	"[283.806,283.982]	G0218	female	哦"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	168	non_speech_or_empty_text	"[293.901,294.754]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	173	duration_below_0.3	"[303.017,303.298]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	215	non_speech_or_empty_text	"[361.605,361.983]	G0000	none	[*]"
/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0109_S0006_0_G0217_G0218.txt	218	duration_below_0.3	"[364.029,364.311]	G0000	none	[*]"
