key	audio	audio_relative	source_recording	source_wav	source_txt	start	end	duration	speaker	gender	text	text_nopunc	split
A0002_S0003_0_G0003_G0004__000001__G0003__000003080_000007060__44d6333e	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000001__G0003__000003080_000007060__44d6333e.wav	wav/A0002_S0003_0_G0003_G0004__000001__G0003__000003080_000007060__44d6333e.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	3.08	7.06	3.98	G0003	male	北京爱数智慧语音采集	北京爱数智慧语音采集	train
A0002_S0003_0_G0003_G0004__000002__G0004__000011660_000014350__8e99ef0c	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000002__G0004__000011660_000014350__8e99ef0c.wav	wav/A0002_S0003_0_G0003_G0004__000002__G0004__000011660_000014350__8e99ef0c.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	11.66	14.35	2.69	G0004	female	北京爱数智慧语音采集	北京爱数智慧语音采集	train
A0002_S0003_0_G0003_G0004__000003__G0003__000015260_000017920__b0a4fb84	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000003__G0003__000015260_000017920__b0a4fb84.wav	wav/A0002_S0003_0_G0003_G0004__000003__G0003__000015260_000017920__b0a4fb84.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	15.26	17.92	2.66	G0003	male	阿拉两个拧来聊聊金融方面呃	阿拉两个拧来聊聊金融方面呃	train
A0002_S0003_0_G0003_G0004__000004__G0003__000020840_000022163__7484de4e	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000004__G0003__000020840_000022163__7484de4e.wav	wav/A0002_S0003_0_G0003_G0004__000004__G0003__000020840_000022163__7484de4e.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	20.84	22.163	1.323	G0003	male	金融方面嘛	金融方面嘛	train
A0002_S0003_0_G0003_G0004__000005__G0003__000022598_000027970__1ed3cbfa	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000005__G0003__000022598_000027970__1ed3cbfa.wav	wav/A0002_S0003_0_G0003_G0004__000005__G0003__000022598_000027970__1ed3cbfa.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	22.598	27.97	5.372	G0003	male	搿呃，阿姨喃，应该讲，侬已经交关年数辣辣了解了	搿呃阿姨喃应该讲侬已经交关年数辣辣了解了	train
A0002_S0003_0_G0003_G0004__000006__G0003__000028670_000032530__e42b6964	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000006__G0003__000028670_000032530__e42b6964.wav	wav/A0002_S0003_0_G0003_G0004__000006__G0003__000028670_000032530__e42b6964.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	28.67	32.53	3.86	G0003	male	葛末，吾辣辣金融方面已经有的三四年了	葛末吾辣辣金融方面已经有的三四年了	train
A0002_S0003_0_G0003_G0004__000007__G0003__000033290_000040150__8cb52f67	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000007__G0003__000033290_000040150__8cb52f67.wav	wav/A0002_S0003_0_G0003_G0004__000007__G0003__000033290_000040150__8cb52f67.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	33.29	40.15	6.86	G0003	male	最少辰光阿拉是做撒呃喃，有钞票就是到银行里保本保息	最少辰光阿拉是做撒呃喃有钞票就是到银行里保本保息	train
A0002_S0003_0_G0003_G0004__000008__G0004__000042110_000044410__dbcd863b	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000008__G0004__000042110_000044410__dbcd863b.wav	wav/A0002_S0003_0_G0003_G0004__000008__G0004__000042110_000044410__dbcd863b.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	42.11	44.41	2.3	G0004	female	吾已经做了已经到八七年了	吾已经做了已经到八七年了	train
A0002_S0003_0_G0003_G0004__000009__G0003__000044442_000044791__ef6b6e10	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000009__G0003__000044442_000044791__ef6b6e10.wav	wav/A0002_S0003_0_G0003_G0004__000009__G0003__000044442_000044791__ef6b6e10.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	44.442	44.791	0.349	G0003	male	呃	呃	train
A0002_S0003_0_G0003_G0004__000010__G0004__000045200_000047830__da832440	/Users/Apple/Downloads/shanghai-dolphin-asr/data/magicdata-shanghai-prepared/wav/A0002_S0003_0_G0003_G0004__000010__G0004__000045200_000047830__da832440.wav	wav/A0002_S0003_0_G0003_G0004__000010__G0004__000045200_000047830__da832440.wav	A0002_S0003_0_G0003_G0004	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/WAV/A0002_S0003_0_G0003_G0004.wav	/Users/Apple/Downloads/Shanghai_Dialect_Conversational_Speech_Corpus/TXT/A0002_S0003_0_G0003_G0004.txt	45.2	47.83	2.63	G0004	female	八七年呃，当时辰光辣里哴相做理财呃	八七年呃当时辰光辣里哴相做理财呃	train
